DATABASE_ID,GENERIC_NAME,SMILES,CID
LMWDB000042,allysine,C(CC=O)CC(C(=O)O)N,207
LMWDB000043,1-aminopropan-2-one,CC(=O)CN,215
LMWDB000044,ammonia,N,222
LMWDB000045,2-Aminobenzoic acid,NC1=CC=CC=C1C(O)=O,227
LMWDB000046,anthranilic acid,C1=CC=C(C(=C1)C(=O)O)N,227
LMWDB000047,beta-Alanine,NCCC(O)=O,239
LMWDB000048,beta-alanine,C(CN)C(=O)O,239
LMWDB000049,benzoic acid,C1=CC=C(C=C1)C(=O)O,243
LMWDB000050,betaine,C[N+](C)(C)CC(=O)[O-],247
LMWDB000051,2.3-butanediol,CC(O)C(C)O,262
LMWDB000052,"2,3-butanediol",CC(C(C)O)O,262
LMWDB000053,1-butanol,CCCCO,263
LMWDB000054,butyric acid,CCCC(=O)O,264
LMWDB000055,Cadaverine,NCCCCCN,273
LMWDB000056,"Pentane-1,5-diamine",C(CCN)CCN,273
LMWDB000057,Carbamoyl phosphate,C(=O)(N)OP(=O)(O)O,278
LMWDB000058,Carbon monoxide,[C-]#[O+],281
LMWDB000059,formic acid,C(=O)O,284
LMWDB000060,Aminooxyacetic acid,C(C(=O)O)ON,286
LMWDB000061,pyrocatechol,C1=CC=C(C(=C1)O)O,289
LMWDB000062,2-methyl-3-oxopropanoic acid,CC(C=O)C(=O)O,296
LMWDB000063,citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311
LMWDB000064,coproporphyrinogen III,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C,321
LMWDB000065,(2-Aminoethyl)phosphonic acid,C(CP(=O)(O)O)N,339
LMWDB000066,4-Hydroxyphenyl hexopyranoside,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,346
LMWDB000067,phloroglucinol,C1=C(C=C(C=C1O)O)O,359
LMWDB000068,Sym-homospermidine,NCCCCNCCCCN,368
LMWDB000069,Gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,370
LMWDB000070,4-nitrophenyl phosphate,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O,378
LMWDB000071,Caprylic acid,CCCCCCCC(O)=O,379
LMWDB000072,octanoic acid,CCCCCCCC(=O)O,379
LMWDB000073,Pimelic acid,OC(=O)CCCCCC(O)=O,385
LMWDB000074,pimelic acid,C(CCC(=O)O)CCC(=O)O,385
LMWDB000075,INDOLEACETAMIDE,NC(=O)CC1=CNC2=C1C=CC=C2,397
LMWDB000076,Dihydrolipoic acid,C(CCC(=O)O)CC(CCS)S,421
LMWDB000077,"1,3-diaminopropane",C(CN)CN,428
LMWDB000078,DL-Mevalonic acid,CC(CCO)(CC(=O)O)O,449
LMWDB000079,2-Aminohexanedioic acid,C(CC(C(=O)O)N)CC(=O)O,469
LMWDB000080,4-Methylthio-2-oxobutanoic acid,CSCCC(=O)C(=O)O,473
LMWDB000081,Methylmalonic acid,CC(C(=O)O)C(=O)O,487
LMWDB000082,N1-Acetylspermidine,CC(=O)NCCCNCCCCN,496
LMWDB000083,DL-Pyroglutamic acid,C1CC(=O)NC1C(=O)O,499
LMWDB000084,N-carbamoylputrescine,C(CCNC(=O)N)CN,502
LMWDB000085,2-Methylcitric acid,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O,515
LMWDB000086,malic acid,C(C(C(=O)O)O)C(=O)O,525
LMWDB000087,2-Phosphoglycolic Acid,C(C(=O)O)OP(=O)(O)O,529
LMWDB000088,"2-[[4-[(2-amino-5-methanimidoyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",C1C(N(C2=C(N1)NC(=NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,530
LMWDB000089,"3,4-Dihydroxyphenylacetic acid",C1=CC(=C(C=C1CC(=O)O)O)O,547
LMWDB000090,"1-Phospho-2,3-diketo-5-S-methylthiopentane",CSCCC(=O)C(=O)COP(=O)(O)O,561
LMWDB000091,creatine,CN(CC(=O)O)C(=N)N,586
LMWDB000092,DL-CYSTINE,C(C(C(=O)O)N)SSCC(C(=O)O)N,595
LMWDB000093,Cytosine,NC1=CC=NC(=O)N1,597
LMWDB000094,cytosine,C1=C(NC(=O)N=C1)N,597
LMWDB000095,2-Mercaptoethanesulfonic acid,C(CS(=O)(=O)O)S,598
LMWDB000096,2-Hydroxy-4-oxopentanedioic acid,C(C(C(=O)O)O)C(=O)C(=O)O,599
LMWDB000097,DL-ALANINE,CC(C(=O)O)N,602
LMWDB000098,DMAPP,CC(=CCOP(=O)(O)OP(=O)(O)O)C,647
LMWDB000099,Dihydroorotic acid,C1C(NC(=O)NC1=O)C(=O)O,648
LMWDB000100,dihydrouracil,C1CNC(=O)NC1=O,649
LMWDB000101,"2,3-butanedione",CC(=O)C(=O)C,650
LMWDB000102,dihydrolipoamide,C(CCC(=O)N)CC(CCS)S,663
LMWDB000103,DIHYDROXYACETONE PHOSPHATE,C(C(=O)COP(=O)(O)O)O,668
LMWDB000104,"1,3-dihydroxyacetone",C(C(=O)CO)O,670
LMWDB000105,"N,N-dimethylglycine",CN(C)CC(=O)O,673
LMWDB000106,dimethylamine,CNC,674
LMWDB000107,dimethyl sulfoxide,CS(=O)C,679
LMWDB000108,dopamine,C1=CC(=C(C=C1CCN)O)O,681
LMWDB000109,"glyceric acid 1,3-biphosphate",C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O,683
LMWDB000110,Ethanolamine,C(CO)N,700
LMWDB000111,ethanol,CCO,702
LMWDB000112,Formaldehyde,C=O,712
LMWDB000113,formaldehyde,C=O,712
LMWDB000114,formamide,C(=O)N,713
LMWDB000115,Actinine,C[N+](C)(C)CCCC(=O)[O-],725
LMWDB000116,DL-Glyceraldehyde 3-phosphate,C(C(C=O)O)OP(=O)(O)O,729
LMWDB000117,Q60864238,CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C,735
LMWDB000118,GLUTARIC ACID,C(CC(=O)O)CC(=O)O,743
LMWDB000119,Glutathionylspermidine I,NCCCCNCCCN=C(O)CN=C(O)C(CS)N=C(O)CCC(N)C(O)=O,749
LMWDB000120,glycine,C(C(=O)O)N,750
LMWDB000121,DL-Glyceraldehyde,C(C(C=O)O)O,751
LMWDB000122,glycerol,C(C(CO)O)O,753
LMWDB000123,Glycerophosphoric acid,C(C(COP(=O)(O)O)O)O,754
LMWDB000124,glycolaldehyde,C(C=O)O,756
LMWDB000125,glycolic acid,C(C(=O)O)O,757
LMWDB000126,glyoxylic acid,C(=O)C(=O)O,760
LMWDB000127,glycocyamine,C(C(=O)O)N=C(N)N,763
LMWDB000128,"2-amino-3,7-dihydropurin-6-one",C1=NC2=C(N1)C(=O)N=C(N2)N,764
LMWDB000129,Hydrogen carbonate,OC(O)=O,769
LMWDB000130,Histamine,NCCC1=CNC=N1,774
LMWDB000131,histamine,C1=C(NC=N1)CCN,774
LMWDB000132,BAY-o-6997,NC(CC1=CNC=N1)C=O,775
LMWDB000133,DL-Homocysteine,C(CS)C(C(=O)O)N,778
LMWDB000134,Homogentisic acid,C1=CC(=C(C=C1O)CC(=O)O)O,780
LMWDB000135,hydrogen peroxide,OO,784
LMWDB000136,hydroquinone,C1=CC(=CC=C1O)O,785
LMWDB000137,"3,7-dihydropurin-6-one",C1=NC2=C(N1)C(=O)N=CN2,790
LMWDB000138,Indole,N1C=CC2=C1C=CC=C2,798
LMWDB000139,indole,C1=CC=C2C(=C1)C=CN2,798
LMWDB000140,2-(1H-indol-3-yl)acetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O,800
LMWDB000141,indole-3-acetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802
LMWDB000142,Itaconic acid,OC(=O)CC(=C)C(O)=O,811
LMWDB000143,Pentitol,C(C(C(C(CO)O)O)O)O,827
LMWDB000144,DL-Adrenaline,CNCC(C1=CC(=C(C=C1)O)O)O,838
LMWDB000145,piperidine-2-carboxylic acid,C1CCNC(C1)C(=O)O,849
LMWDB000146,lipoamide,C1CSSC1CCCCC(=O)N,863
LMWDB000147,Malonic acid,OC(=O)CC(O)=O,867
LMWDB000148,malonic acid,C(C(=O)O)C(=O)O,867
LMWDB000149,3-oxopropanoic acid,C(C=O)C(=O)O,868
LMWDB000150,Tartaric acid,O[C@H]([C@@H](O)C(O)=O)C(O)=O,875
LMWDB000151,DL-Tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,875
LMWDB000152,methanethiol,CS,878
LMWDB000153,methylglyoxal,CC(=O)C=O,880
LMWDB000154,methanol,CO,887
LMWDB000155,inositol,C1(C(C(C(C(C1O)O)O)O)O)O,892
LMWDB000156,Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,896
LMWDB000157,N-Acetyl-5-hydroxytryptamine,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,903
LMWDB000158,Niacinamide,NC(=O)C1=CC=CN=C1,936
LMWDB000159,nicotinamide,C1=CC(=CN=C1)C(=O)N,936
LMWDB000160,Nicotinic acid,OC(=O)C1=CN=CC=C1,938
LMWDB000161,nicotinic acid,C1=CC(=CN=C1)C(=O)O,938
LMWDB000162,Nitrogen,N#N,947
LMWDB000163,dl-Norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O,951
LMWDB000164,1-Octanol,CCCCCCCCO,957
LMWDB000165,1-octanol,CCCCCCCCO,957
LMWDB000166,water,O,962
LMWDB000167,hydroxypyruvic acid,C(C(=O)C(=O)O)O,964
LMWDB000168,Orotic acid,C1=C(NC(=O)NC1=O)C(=O)O,967
LMWDB000169,oxalacetic acid,C(C(=O)C(=O)O)C(=O)O,970
LMWDB000170,Oxalic acid,OC(=O)C(O)=O,971
LMWDB000171,oxalic acid,C(=O)(C(=O)O)O,971
LMWDB000172,Oxalosuccinic acid,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O,972
LMWDB000173,oxygen,O=O,977
LMWDB000174,p-Aminobenzoic acid,NC1=CC=C(C=C1)C(O)=O,978
LMWDB000175,4-aminobenzoic acid,C1=CC(=CC=C1C(=O)O)N,978
LMWDB000176,4-Hydroxyphenylpyruvic acid,C1=CC(=CC=C1CC(=O)C(=O)O)O,979
LMWDB000177,palmitic acid,CCCCCCCCCCCCCCCC(=O)O,985
LMWDB000178,"n~3~-[2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-n-(2-sulfanylethyl)-beta-alaninamide",CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,987
LMWDB000179,DL-Pantothenic acid,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
LMWDB000180,phenylpyruvic acid,C1=CC=C(C=C1)CC(=O)C(=O)O,997
LMWDB000181,phenylacetaldehyde,C1=CC=C(C=C1)CC=O,998
LMWDB000182,PHENYLACETIC ACID,C1=CC=C(C=C1)CC(=O)O,999
LMWDB000183,Phenethylamine,C1=CC=C(C=C1)CCN,1001
LMWDB000184,phosphoenolpyruvate,C=C(C(=O)O)OP(=O)(O)O,1005
LMWDB000185,O-Phosphorylethanolamine,C(COP(=O)(O)O)N,1015
LMWDB000186,porphobilinogen,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O,1021
LMWDB000187,propylene glycol,CC(CO)O,1030
LMWDB000188,1-propanol,CCCO,1031
LMWDB000189,propionic acid,CCC(=O)O,1032
LMWDB000190,Putrescine,NCCCCN,1045
LMWDB000191,"1,4-diaminobutane",C(CCN)CN,1045
LMWDB000192,pyrazinamide,C1=CN=C(C=N1)C(=O)N,1046
LMWDB000193,Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O,1050
LMWDB000194,pyridoxal phosphate,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,1051
LMWDB000195,Pyridoxamine,CC1=C(O)C(CN)=C(CO)C=N1,1052
LMWDB000196,pyridoxamine,CC1=NC=C(C(=C1O)CN)CO,1052
LMWDB000197,pyridoxine,CC1=NC=C(C(=C1O)CO)CO,1054
LMWDB000198,Pyridoxine phosphate,CC1=NC=C(C(=C1O)CO)COP(=O)(O)O,1055
LMWDB000199,Pyrogallol,OC1=CC=CC(O)=C1O,1057
LMWDB000200,"4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid",C1C(C=NC1C(=O)O)O,1059
LMWDB000201,Pyruvic acid,CC(=O)C(=O)O,1060
LMWDB000202,quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O,1066
LMWDB000203,Dimethylsulfide,CSC,1068
LMWDB000204,dimethyl sulfide,CSC,1068
LMWDB000205,thiosulfate,[O-]S(=O)(=S)[O-],1084
LMWDB000206,sarcosine,CNCC(=O)O,1088
LMWDB000207,sulfite,[O-]S(=O)[O-],1099
LMWDB000208,Spermidine,NCCCCNCCCN,1102
LMWDB000209,spermidine,C(CCNCCCN)CN,1102
LMWDB000210,Spermine,NCCCNCCCCNCCCN,1103
LMWDB000211,spermine,C(CCNCCCN)CNCCCN,1103
LMWDB000212,succinic acid,C(CC(=O)O)C(=O)O,1110
LMWDB000213,Succinic semialdehyde,C(CC(=O)O)C=O,1112
LMWDB000214,sulfate,[O-]S(=O)(=O)[O-],1117
LMWDB000215,taurine,C(CS(=O)(=O)O)N,1123
LMWDB000216,"2-amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-1H-pteridin-4-one",CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O,1125
LMWDB000217,thymine,CC1=CNC(=O)NC1=O,1135
LMWDB000218,Trimethylamine N-oxide,C[N+](C)(C)[O-],1145
LMWDB000219,TRIMETHYLAMINE N-OXIDE,C[N+](C)(C)[O-],1145
LMWDB000220,Trimethylamine,CN(C)C,1146
LMWDB000221,trimethylamine,CN(C)C,1146
LMWDB000222,tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN,1150
LMWDB000223,uracil,C1=CNC(=O)NC1=O,1174
LMWDB000224,uric acid,C12=C(NC(=O)N1)NC(=O)NC2=O,1175
LMWDB000225,urea,C(=O)(N)N,1176
LMWDB000226,MK-8,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)C2=CC=CC=C2C1=O,1184
LMWDB000227,xanthine,C1=NC2=C(N1)C(=O)NC(=O)N2,1188
LMWDB000228,"3,4,5,6-tetrahydropyridine-2-carboxylic acid",C1CCN=C(C1)C(=O)O,1194
LMWDB000229,isopentenyl pyrophosphate,CC(=C)CCOP(=O)(O)OP(=O)(O)O,1195
LMWDB000230,"3,4-dihydro-2H-pyrrole-2-carboxylic acid",C1CC(N=C1)C(=O)O,1196
LMWDB000231,isocitric acid,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,1198
LMWDB000232,NORMETANEPHRINE,COC1=C(C=CC(=C1)C(CN)O)O,1237
LMWDB000233,Vanillylmandelic acid,COC1=C(C=CC(=C1)C(C(=O)O)O)O,1245
LMWDB000234,PhIP,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,1530
LMWDB000235,4-(2-Aminoethyl)-2-methoxyphenol,COC1=C(C=CC(=C1)CCN)O,1669
LMWDB000236,3-Nitropropionic acid,OC(=O)CCN(=O)=O,1678
LMWDB000237,4-aminopyridine,C1=CN=CC=C1N,1727
LMWDB000238,phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1775
LMWDB000239,"5,8,11,14-eicosatetraynoic acid",CCCCCC#CCC#CCC#CCC#CCCCC(=O)O,1780
LMWDB000240,5-Hydroxyindole-3-acetic acid,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,1826
LMWDB000241,Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,1935
LMWDB000242,acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986
LMWDB000243,albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,2082
LMWDB000244,ALENDRONIC ACID,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,2088
LMWDB000245,alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,2099
LMWDB000246,alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,2118
LMWDB000247,altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,2123
LMWDB000248,amantadine,C1C2CC3CC1CC(C2)(C3)N,2130
LMWDB000249,aminoguanidine,C(=NN)(N)N,2146
LMWDB000250,4-Aminohippuric acid,C1=CC(=CC=C1C(=O)NCC(=O)O)N,2148
LMWDB000251,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,2153
LMWDB000252,amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2160
LMWDB000253,amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,2161
LMWDB000254,amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,2170
LMWDB000255,anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,2187
LMWDB000256,apraclonidine,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,2216
LMWDB000257,arcaine,C(CCN=C(N)N)CN=C(N)N,2227
LMWDB000258,aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,2244
LMWDB000259,azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],2265
LMWDB000260,azelaic acid,C(CCCC(=O)O)CCCC(=O)O,2266
LMWDB000261,BISPHENOL A DIGLYCIDYL ETHER,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,2286
LMWDB000262,benzocaine,CCOC(=O)C1=CC=C(C=C1)N,2337
LMWDB000263,biperiden,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,2381
LMWDB000264,bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,2391
LMWDB000265,brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,2435
LMWDB000266,bronopol,C(C(CO)([N+](=O)[O-])Br)O,2450
LMWDB000267,bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,2471
LMWDB000268,busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,2478
LMWDB000269,butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,2481
LMWDB000270,butenafine,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,2484
LMWDB000271,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519
LMWDB000272,candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2541
LMWDB000273,carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,2554
LMWDB000274,carmustine,C(CCl)NC(=O)N(CCCl)N=O,2578
LMWDB000275,celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,2662
LMWDB000276,chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,2708
LMWDB000277,chlordiazepoxide,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,2712
LMWDB000278,chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,2720
LMWDB000279,chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,2726
LMWDB000280,chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,2727
LMWDB000281,chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2,2733
LMWDB000282,CICLOPIROX,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,2749
LMWDB000283,cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2754
LMWDB000284,cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,2756
LMWDB000285,ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2764
LMWDB000286,Clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,2789
LMWDB000287,clofazimine,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,2794
LMWDB000288,clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,2801
LMWDB000289,clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,2802
LMWDB000290,clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,2803
LMWDB000291,clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,2812
LMWDB000292,Cochliodinol,CC(C)=CCC1=CC=C2NC=C(C2=C1)C1=C(O)C(=O)C(C2=CNC3=CC=C(CC=C(C)C)C=C23)=C(O)C1=O,2827
LMWDB000293,4-Methylphenol,CC1=CC=C(C=C1)O,2879
LMWDB000294,cromolyn,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,2882
LMWDB000295,cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,2895
LMWDB000296,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,2907
LMWDB000297,dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,2955
LMWDB000298,Capric acid,CCCCCCCCCC(O)=O,2969
LMWDB000299,Decanoic acid,CCCCCCCCCC(=O)O,2969
LMWDB000300,deferiprone,CC1=C(C(=O)C=CN1C)O,2972
LMWDB000301,deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,2973
LMWDB000302,desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,2995
LMWDB000303,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016
LMWDB000304,dibucaine,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,3025
LMWDB000305,diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,3033
LMWDB000306,dichlorphenamide,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,3038
LMWDB000307,dicyclomine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,3042
LMWDB000308,diethylcarbamazine,CCN(CC)C(=O)N1CCN(CC1)C,3052
LMWDB000309,Pentetic acid,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3053
LMWDB000310,DIPHENIDOL,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,3055
LMWDB000311,diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,3059
LMWDB000312,Arundine,C(C1=CNC2=CC=CC=C12)C1=CNC2=CC=CC=C12,3071
LMWDB000313,diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100
